Tanggal Order;Channel;Kategori Channel;Cust;Daerah;Provinsi;Pesanan;Kategori;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total
Saturday, 14 January 2023;Shopee;End User;midhaasyafii;JAKARTA PUSAT;DKI JAKARTA;Dks Lemontea;Dupa Stik;1;25000;25000;0;25000;25000
Saturday, 14 January 2023;Shopee;End User;midhaasyafii;JAKARTA PUSAT;DKI JAKARTA;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000
Tuesday, 17 January 2023;Shopee;End User;dimasrahmat122;MALANG;JAWA TIMUR;Dks Melati;Dupa Stik;1;18600;18600;0;18600;18600
Wednesday, 18 January 2023;Shopee;End User;awww.e;MALANG;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 19 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;5;9000;9000;0;45000;45000
Sunday, 22 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;2;9000;9000;0;18000;18000
Sunday, 22 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Gaharu;Dupa Kerucut;1;14000;14000;0;14000;14000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Melati;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Blue Flower;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Cendana;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Abdi Dalem;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Baccarat;Dupa Stik;9;9000;9000;0;81000;81000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Sakura;Dupa Stik;7;9000;9000;0;63000;63000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Lemontea;Dupa Stik;11;9000;9000;0;99000;99000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Vanilla;Dupa Stik;8;9000;9000;0;72000;72000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Gaharu;Dupa Kerucut;7;14000;14000;0;98000;98000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Melati;Dupa Kerucut;4;14000;14000;0;56000;56000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Cendana;Dupa Kerucut;1;14000;14000;0;14000;14000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Abdi Dalem;Dupa Kerucut;1;14000;14000;0;14000;14000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Baccarat;Dupa Kerucut;5;14000;14000;0;70000;70000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Sakura;Dupa Kerucut;3;14000;14000;0;42000;42000
Monday, 23 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Lemontea;Dupa Kerucut;4;14000;14000;0;56000;56000
Tuesday, 24 January 2023;Shopee;End User;gansprint.id;MALANG;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;22750;22750;0;22750;22750
Tuesday, 24 January 2023;Shopee;End User;gansprint.id;MALANG;JAWA TIMUR;Dks Abdi Dalem;Dupa Stik;1;22750;22750;0;22750;22750
Tuesday, 24 January 2023;Shopee;End User;gansprint.id;MALANG;JAWA TIMUR;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200
Thursday, 26 January 2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;Dks Melati;Dupa Stik;1;10000;10000;0;10000;10000
Thursday, 26 January 2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000
Thursday, 26 January 2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;Dks Vanilla;Dupa Stik;1;20000;20000;0;20000;20000
Thursday, 26 January 2023;Shopee;End User;nizartr;JEMBER;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;10000;10000;0;10000;10000
Friday, 27 January 2023;Shopee;End User;gunawan2541998;LUMAJANG;JAWA TIMUR;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400
Saturday, 28 January 2023;Shopee;End User;aulifiasalsha;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;22750;22750;0;22750;22750
Saturday, 28 January 2023;Shopee;End User;aulifiasalsha;SURABAYA;JAWA TIMUR;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400
