Tanggal Order;Channel;Kategori Channel;Cust;Kab/Kota;Provinsi;Pesanan;Kategori;Produk;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total;Anomaly_Flags;Is_Anomaly;Expected_Total_Penjualan;Expected_Total_Diskon;Duplicate_Group_Size;Sheet
11/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Baccarat;Dks Baccarat;Dupa Stik;30;9000;9000;0;270000;270000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
11/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;23;9000;9000;0;207000;207000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
11/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Sakura;Dks Sakura;Dupa Stik;22;9000;9000;0;198000;198000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/01/2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;9000;9000;0;9000;9000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/01/2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;DKS Blue Flower;Dks Blue Flower;Dupa Stik;1;9000;9000;0;9000;9000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/01/2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;DKS Abdi Dalem;Dks Abdi Dalem;Dupa Stik;1;9000;9000;0;9000;9000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/01/2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;DKS Sakura;Dks Sakura;Dupa Stik;1;9000;9000;0;9000;9000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/01/2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;1;9000;9000;0;9000;9000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Offline;End User;Bu De Adah;JAKARTA PUSAT;DKI JAKARTA;DKS Lemontea;Dks Lemontea;Dupa Stik;10;9000;9000;0;90000;90000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Offline;End User;Bu De Adah;JAKARTA PUSAT;DKI JAKARTA;DKS Abdi Dalem;Dks Abdi Dalem;Dupa Stik;10;9000;9000;0;90000;90000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Offline;End User;Bu De Adah;JAKARTA PUSAT;DKI JAKARTA;DKS Blue Flower;Dks Blue Flower;Dupa Stik;10;9000;9000;0;90000;90000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Offline;End User;Bu De Adah;JAKARTA PUSAT;DKI JAKARTA;DKS Gaharu;Dks Gaharu;Dupa Stik;10;9000;9000;0;90000;90000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Shopee;End User;midhaasyafii;JAKARTA PUSAT;DKI JAKARTA;DKS Melati;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Shopee;End User;midhaasyafii;JAKARTA PUSAT;DKI JAKARTA;DKS Baccarat;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Shopee;End User;midhaasyafii;JAKARTA PUSAT;DKI JAKARTA;DKS Lemontea;Dks Lemontea;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/01/2023;Shopee;End User;midhaasyafii;JAKARTA PUSAT;DKI JAKARTA;DKS Vanilla;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
17/01/2023;Shopee;End User;dimasrahmat122;MALANG;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;1;18600;18600;0;18600;18600;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
18/01/2023;Shopee;End User;awww.e;MALANG;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
19/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;5;9000;9000;0;45000;45000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
22/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;2;9000;9000;0;18000;18000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
